"Season","DayNum","WTeamID","WScore","LTeamID","LScore","WLoc","NumOT","WFGM","WFGA","WFGM3","WFGA3","WFTM","WFTA","WOR","WDR","WAst","WTO","WStl","WBlk","WPF","LFGM","LFGA","LFGM3","LFGA3","LFTM","LFTA","LOR","LDR","LAst","LTO","LStl","LBlk","LPF","WConf","LConf","Conf_Tour","Poss","Pace","WFG.P","LFG.P","WFG3.P","LFG3.P","WFT.P","LFT.P","WEFG.P","LEFG.P","WTO.P","LTO.P","WOR.P","WDR.P","LOR.P","LDR.P","WFT.R","LFT.R","WORtg","LORtg","WDRtg","LDRtg","WFTA.R","LFTA.R","W3PA.R","L3PA.R","WTS.P","LTS.P"
2015,61,1172,81,1350,67,"H",0,27,51,9,25,18,23,9,25,16,8,2,2,18,26,56,5,16,10,16,7,18,9,5,5,2,20,"a_ten","a_ten",0,61.2625,61.2625,0.529411764705882,0.464285714285714,0.36,0.3125,0.782608695652174,0.625,0.617647058823529,0.508928571428571,0.115740740740741,0.0734861845972957,0.333333333333333,0.78125,0.21875,0.666666666666667,0.352941176470588,0.178571428571429,132.217914711283,109.365435625383,109.365435625383,132.217914711283,0.450980392156863,0.285714285714286,0.490196078431373,0.285714285714286,0.654016955995155,0.526729559748428
2015,61,1173,81,1182,55,"H",0,30,53,10,26,11,22,4,33,21,9,4,4,11,21,61,5,24,8,12,9,25,11,12,4,2,17,"a_ten","a_ten",0,69.075,69.075,0.566037735849057,0.344262295081967,0.384615384615385,0.208333333333333,0.5,0.666666666666667,0.660377358490566,0.385245901639344,0.125558035714286,0.153295861011753,0.137931034482759,0.785714285714286,0.214285714285714,0.862068965517241,0.207547169811321,0.131147540983607,117.263843648208,79.623597538907,79.623597538907,117.263843648208,0.415094339622642,0.19672131147541,0.490566037735849,0.39344262295082,0.638297872340425,0.412293853073463
2015,61,1203,64,1386,60,"A",0,22,54,6,18,14,24,14,28,17,11,3,6,16,23,55,5,17,9,16,8,23,15,8,7,2,21,"a_ten","a_ten",0,62.5,62.5,0.407407407407407,0.418181818181818,0.333333333333333,0.294117647058824,0.583333333333333,0.5625,0.462962962962963,0.463636363636364,0.145579671784013,0.114220445459737,0.378378378378378,0.777777777777778,0.222222222222222,0.621621621621622,0.259259259259259,0.163636363636364,102.4,96,96,102.4,0.444444444444444,0.290909090909091,0.333333333333333,0.309090909090909,0.489296636085627,0.479233226837061
2015,61,1206,70,1247,62,"H",0,23,40,4,6,20,29,9,23,12,17,7,1,17,24,50,4,14,10,19,8,14,8,13,6,3,22,"a_ten","a_ten",0,62.9,62.9,0.575,0.48,0.666666666666667,0.285714285714286,0.689655172413793,0.526315789473684,0.625,0.52,0.243692660550459,0.182174887892377,0.391304347826087,0.741935483870968,0.258064516129032,0.608695652173913,0.5,0.2,111.287758346582,98.5691573926868,98.5691573926868,111.287758346582,0.725,0.38,0.15,0.28,0.650860065086007,0.525201185938162
2015,61,1348,65,1387,53,"A",0,24,52,3,13,14,19,10,21,12,14,13,7,19,20,44,2,12,11,18,9,21,10,21,5,5,19,"a_ten","a_ten",0,64.7875,64.7875,0.461538461538462,0.454545454545455,0.230769230769231,0.166666666666667,0.736842105263158,0.611111111111111,0.490384615384615,0.477272727272727,0.188273265196342,0.287986834887548,0.32258064516129,0.7,0.3,0.67741935483871,0.269230769230769,0.25,100.327995369477,81.8059039166506,81.8059039166506,100.327995369477,0.365384615384615,0.409090909090909,0.25,0.272727272727273,0.532568619418271,0.504281636536632
2015,61,1382,69,1269,55,"A",0,22,49,4,12,21,31,12,25,12,13,6,3,21,19,54,4,22,13,20,13,17,10,15,4,4,27,"a_ten","a_ten",0,65.1125,65.1125,0.448979591836735,0.351851851851852,0.333333333333333,0.181818181818182,0.67741935483871,0.65,0.489795918367347,0.388888888888889,0.171866737176097,0.19280205655527,0.413793103448276,0.657894736842105,0.342105263157895,0.586206896551724,0.428571428571429,0.240740740740741,105.97043578422,84.4691879439432,84.4691879439432,105.97043578422,0.63265306122449,0.37037037037037,0.244897959183673,0.407407407407407,0.541388779913692,0.433070866141732
2015,62,1433,75,1200,58,"A",0,27,55,7,22,14,30,7,26,14,17,21,3,18,20,57,4,23,14,19,14,28,9,28,13,3,22,"a_ten","a_ten",0,79.6375,79.6375,0.490909090909091,0.350877192982456,0.318181818181818,0.173913043478261,0.466666666666667,0.736842105263158,0.554545454545455,0.385964912280702,0.199530516431925,0.299914310197087,0.2,0.65,0.35,0.8,0.254545454545455,0.245614035087719,94.1767383456286,72.8300109872861,72.8300109872861,94.1767383456286,0.545454545454545,0.333333333333333,0.4,0.403508771929825,0.541516245487365,0.439227565316168
2015,64,1203,75,1387,72,"H",0,24,49,4,12,23,34,12,19,8,8,8,3,14,28,51,11,20,5,7,5,20,13,12,2,1,26,"a_ten","a_ten",0,61.2375,61.2375,0.489795918367347,0.549019607843137,0.333333333333333,0.55,0.676470588235294,0.714285714285714,0.530612244897959,0.656862745098039,0.111172873818788,0.181598062953995,0.375,0.791666666666667,0.208333333333333,0.625,0.469387755102041,0.0980392156862745,122.473974280465,117.575015309247,117.575015309247,122.473974280465,0.693877551020408,0.137254901960784,0.244897959183673,0.392156862745098,0.575594781273983,0.662678324896457
2015,65,1182,71,1386,68,"H",0,26,52,11,20,8,12,6,26,15,11,0,5,14,28,68,7,29,5,7,13,22,17,7,6,5,13,"a_ten","a_ten",0,64.0125,64.0125,0.5,0.411764705882353,0.55,0.241379310344828,0.666666666666667,0.714285714285714,0.605769230769231,0.463235294117647,0.161101347393087,0.0896516393442623,0.214285714285714,0.666666666666667,0.333333333333333,0.785714285714286,0.153846153846154,0.0735294117647059,110.915836750635,106.229252099199,106.229252099199,110.915836750635,0.230769230769231,0.102941176470588,0.384615384615385,0.426470588235294,0.61525129982669,0.476691202243253
2015,65,1269,71,1247,65,"A",0,27,52,6,13,11,16,7,28,15,14,5,5,19,25,64,2,10,13,20,16,21,12,9,7,7,15,"a_ten","a_ten",0,66.55,66.55,0.519230769230769,0.390625,0.461538461538462,0.2,0.6875,0.65,0.576923076923077,0.40625,0.191675794085433,0.110024449877751,0.25,0.636363636363636,0.363636363636364,0.75,0.211538461538462,0.203125,106.686701728024,97.6709241172051,97.6709241172051,106.686701728024,0.307692307692308,0.3125,0.25,0.15625,0.595637583892617,0.442176870748299
