"DScore","WLoc","NumOT","Poss","Pace","Conf_Tour","DFGM","DFGA","DFGM3","DFGA3","DFTM","DFTA","DOR","DDR","DAst","DTO","DStl","DBlk","DPF","DFG.P","DFG3.P","DFT.P","DEFG.P","DTO.P","DOR.P","DDR.P","DFT.R","DORtg","DDRtg","DFTA.R","D3PA.R","DTS.P"
14,"H",0,61.2625,61.2625,0,1,-5,4,9,8,7,2,7,7,3,-3,0,-2,0.065126050420168,0.0475,0.157608695652174,0.108718487394958,0.0422545561434453,0.114583333333333,0.114583333333333,0.174369747899159,22.8524790859,-22.8524790859,0.165266106442577,0.204481792717087,0.127287396246727
26,"H",0,69.075,69.075,0,9,-8,5,2,3,10,-5,8,10,-3,0,2,-6,0.22177544076709,0.176282051282052,-0.166666666666667,0.275131456851222,-0.027737825297467,-0.076354679802955,-0.076354679802955,0.076399628827714,37.640246109301,-37.640246109301,0.218373028147232,0.097123414785029,0.226004019266962
4,"A",0,62.5,62.5,0,-1,-1,1,1,5,8,6,5,2,3,-4,4,-5,-0.010774410774411,0.039215686274509,0.020833333333333,-0.000673400673400992,0.031359226324276,0.156156156156156,0.156156156156156,0.095622895622895,6.40000000000001,-6.40000000000001,0.153535353535353,0.024242424242424,0.010063409248566
8,"H",0,62.9,62.9,0,-1,-10,0,-8,10,10,1,9,4,4,1,-2,-5,0.095,0.380952380952381,0.163339382940109,0.105,0.061517772658082,0.133239831697055,0.133239831697055,0.3,12.7186009538952,-12.7186009538952,0.345,-0.13,0.125658879147845
12,"A",0,64.7875,64.7875,0,4,8,1,1,3,1,1,0,2,-7,8,2,0,0.00699300699300703,0.064102564102564,0.125730994152047,0.013111888111888,-0.099713569691206,0.02258064516129,0.02258064516129,0.019230769230769,18.5220914528264,-18.5220914528264,-0.043706293706294,-0.022727272727273,0.028286982881639
14,"A",0,65.1125,65.1125,0,3,-5,0,-10,8,11,-1,8,2,-2,2,-1,-6,0.097127739984883,0.151515151515151,0.0274193548387099,0.100907029478458,-0.020935319379173,0.071687840290381,0.071687840290381,0.187830687830688,21.5012478402768,-21.5012478402768,0.26228269085412,-0.162509448223734,0.10831791377196
17,"A",0,79.6375,79.6375,0,7,-2,3,-1,0,11,-7,-2,5,-11,8,0,-4,0.140031897926635,0.144268774703557,-0.270175438596491,0.168580542264753,-0.100383793765162,-0.15,-0.15,0.00893141945773601,21.3467273583425,-21.3467273583425,0.212121212121212,-0.00350877192982496,0.102288680171197
3,"H",0,61.2375,61.2375,0,-4,-2,-7,-8,18,27,7,-1,-5,-4,6,2,-12,-0.05922368947579,-0.216666666666667,-0.0378151260504199,-0.12625050020008,-0.070425189135207,0.166666666666667,0.166666666666667,0.371348539415767,4.89895897121801,-4.89895897121801,0.556622649059624,-0.147258903561425,-0.0870835436224739
3,"H",0,64.0125,64.0125,0,-2,-16,4,-9,3,5,-7,4,-2,4,-6,0,1,0.088235294117647,0.308620689655172,-0.047619047619047,0.142533936651584,0.0714497080488247,-0.119047619047619,-0.119047619047619,0.0803167420814481,4.68658465143599,-4.68658465143599,0.127828054298643,-0.041855203619909,0.138560097583437
6,"A",0,66.55,66.55,0,2,-12,4,3,-2,-4,-9,7,3,5,-2,-2,4,0.128605769230769,0.261538461538462,0.0375,0.170673076923077,0.081651344207682,-0.113636363636364,-0.113636363636364,0.00841346153846201,9.0157776108189,-9.0157776108189,-0.00480769230769201,0.09375,0.153460713144318
3,"H",0,72.325,72.325,0,0,-1,-3,2,6,16,3,-2,2,-3,0,7,-8,0.00904977375565597,-0.261904761904762,-0.141353383458646,-0.019607843137255,-0.045433850946868,0.051971326164875,0.051971326164875,0.122549019607843,4.1479433114414,-4.1479433114414,0.320889894419307,0.043740573152338,-0.029795976165036
6,"H",0,65.1,65.1,0,3,0,-3,-6,3,8,2,3,0,-5,8,7,-1,0.050847457627119,-0.038961038961039,-0.216666666666667,0.025423728813559,-0.06066812105868,0.06330014224751,0.06330014224751,0.050847457627118,9.2165898617512,-9.2165898617512,0.135593220338983,-0.101694915254238,0.015929782601338
17,"A",0,61.8625,61.8625,0,9,4,11,10,-12,-17,-6,0,11,-1,5,-4,7,0.141025641025641,0.369047619047619,0.107142857142857,0.244391025641025,-0.00277485848221798,-0.154838709677419,-0.154838709677419,-0.259615384615385,27.4802990503135,-27.4802990503135,-0.365384615384615,0.169871794871795,0.191457427110386
10,"H",0,60.575,60.575,0,-3,-17,2,3,14,12,-18,-2,8,-4,4,4,-4,0.108139534883721,0.045454545454545,0.324110671936759,0.147868217054263,-0.025278609799107,-0.486486486486487,-0.486486486486487,0.365116279069767,16.508460586051,-16.508460586051,0.3515503875969,0.142248062015504,0.197135090845799
35,"H",0,65.1375,65.1375,0,13,11,9,3,0,-7,3,9,13,-3,1,-1,1,0.147468818782098,0.38755980861244,0.154761904761905,0.219002201027146,-0.050207480112689,0.138622493461203,0.138622493461203,-0.052457813646368,53.7324889656499,-53.7324889656499,-0.233675715333823,-0.02494497432135,0.206891251722264
18,"A",0,59.075,59.075,0,6,-17,2,-4,4,6,-8,14,1,5,-1,0,-5,0.271317829457365,0.1875,-0.0785714285714291,0.311046511627907,0.0920106769104751,-0.047222222222222,-0.0472222222222219,0.178682170542635,30.469741853576,-30.469741853576,0.231782945736434,0.038759689922481,0.288700746615225
13,"H",0,57.7375,57.7375,0,6,9,1,3,0,-1,3,-2,6,-6,3,3,6,0.052071668533035,-0.025974025974026,0.035714285714286,0.050111982082866,-0.096868932907653,0.031609195402299,0.031609195402299,-0.07558790593505,22.5156960381034,-22.5156960381034,-0.127099664053751,0.00839865621500602,0.0364173818406519
1,"A",0,61.4375,61.4375,0,-3,2,4,6,3,1,6,1,4,1,-4,-2,0,-0.067942583732057,0.113636363636364,0.179487179487179,-0.034130781499203,0.00452447804983799,0.111486486486487,0.111486486486487,0.047527910685806,1.62767039674469,-1.62767039674469,0.009888357256778,0.095055821371611,-0.011448025248242
15,"H",0,77.0375,77.0375,0,6,22,7,12,-4,-11,6,-4,0,-9,6,0,8,-0.065538544184798,0.0671936758893281,0.093350383631713,-0.032366371206017,-0.115794278246813,0.064009661835748,0.064009661835748,-0.167069567553048,19.471036832711,-19.471036832711,-0.351598173515982,0.099382218640881,-0.020769883048524
4,"A",0,64.2125,64.2125,0,3,6,3,6,-5,-9,3,3,5,3,3,-3,5,0.011624441132638,0.027777777777777,0.01131221719457,0.031743666169896,0.025748420763526,0.071428571428571,0.0714285714285711,-0.108792846497765,6.2293167218218,-6.2293167218218,-0.194038748137109,0.076900149031297,0.017459476844429
19,"H",0,60.775,60.775,0,5,-7,7,11,2,4,-6,5,8,0,0,1,-5,0.15189393939394,0.333333333333333,-0.0779220779220779,0.224810606060606,0.015226781068446,-0.093567251461989,-0.093567251461989,0.0549242424242421,31.2628547922665,-31.2628547922665,0.10189393939394,0.255681818181818,0.212166121027422
5,"A",0,67.7125,67.7125,0,1,6,7,16,-4,-1,-2,-10,-3,-5,-3,0,1,-0.027182603133994,0.208333333333333,-0.162337662337662,0.031180044771347,-0.063083924504831,-0.131652661064425,-0.131652661064425,-0.092740645986569,7.3841609747092,-7.3841609747092,-0.059162136232811,0.255836264790534,-0.00162802673734097
8,"A",0,70.075,70.075,0,2,4,3,12,1,-2,-1,-3,-1,-5,4,-2,0,0.005918751681464,0.00608519269776903,0.138888888888889,0.027576002152273,-0.057221627763341,-0.042105263157895,-0.042105263157895,0.00403551251008799,11.4163396361046,-11.4163396361046,-0.051116491794458,0.172181867097121,0.036511617666486
11,"H",0,60.175,60.175,0,4,0,2,6,1,6,1,0,1,-3,6,0,-8,0.083333333333334,-0.025,-0.2375,0.104166666666667,-0.044277655747156,0.025806451612903,0.0258064516129031,0.020833333333333,18.2800166181972,-18.2800166181972,0.125,0.125,0.0746275017900371
20,"N",0,61.9,61.9,0,4,5,4,7,8,12,8,5,1,-4,2,1,-4,0.038181818181818,0.142857142857143,-0.066666666666666,0.072727272727273,-0.066724821662882,0.199494949494949,0.199494949494949,0.118181818181818,32.3101777059772,-32.3101777059772,0.185454545454545,0.101818181818182,0.07183221474441
11,"H",0,63.2875,63.2875,0,0,-1,0,9,11,7,6,11,3,2,-6,0,-1,0.00754147812971295,-0.175,0.330303030303031,0.00886123680241302,0.015821898024203,0.233870967741935,0.233870967741935,0.218702865761689,17.3809994074663,-17.3809994074663,0.14291101055807,0.18212669683258,0.071905690010786
9,"H",0,69.5125,69.5125,0,1,3,3,7,4,-9,-3,2,10,1,-4,1,4,-0.00699300699300703,0.00202429149797601,0.297647058823529,0.016083916083917,0.012919512919513,-0.05052790346908,-0.0505279034690791,0.059090909090909,12.9473116345983,-12.9473116345983,-0.199300699300699,0.107342657342658,0.076941326513121
3,"H",2,71.4,57.12,0,0,0,-6,-7,9,10,10,8,-6,4,-5,0,-9,0,-0.209090909090909,0.0381125226860261,-0.054545454545455,0.034918809100551,0.290441176470588,0.290441176470588,0.163636363636363,4.20168067226849,-4.20168067226849,0.181818181818182,-0.127272727272727,-0.015945357131857
16,"H",0,61.4,61.4,0,1,-4,-2,1,16,18,1,4,6,-3,4,1,-8,0.059006211180125,-0.130718954248366,0.303030303030303,0.041407867494824,-0.046762142612876,0.05,0.05,0.391304347826087,26.0586319218241,-26.0586319218241,0.459627329192547,0.059006211180125,0.105295902496239
10,"H",0,62.7125,62.7125,0,-4,-10,1,3,17,19,-4,0,1,-3,-1,2,-10,-0.00790229885057397,-0.004201680672269,0.241935483870968,0.011494252873564,-0.030837927913764,-0.073260073260073,-0.073260073260073,0.375718390804598,15.9457843332665,-15.9457843332665,0.438936781609195,0.112787356321839,0.0861795495400229
11,"H",0,65.7375,65.7375,0,-1,-16,2,-9,11,17,-7,5,7,-1,3,1,-8,0.092424242424242,0.178733031674209,-0.011494252873564,0.124242424242424,0.00976390727557203,-0.108777194298575,-0.108777194298575,0.298484848484849,16.7332192432021,-16.7332192432021,0.459090909090909,-0.046969696969697,0.146348579719652
4,"H",0,60.1125,60.1125,0,1,14,0,4,2,1,11,-6,2,-5,2,-3,-2,-0.099778270509977,-0.177777777777778,0.0523076923076919,-0.105986696230598,-0.093059037621937,0.148571428571429,0.148571428571429,-0.062971175166297,6.65419006030359,-6.65419006030359,-0.137028824833703,0.041685144124169,-0.084116528982188
26,"H",0,62.7875,62.7875,0,11,4,8,9,-4,-5,-4,0,12,-6,1,2,1,0.174074074074074,0.178885630498533,0.00297619047619002,0.243703703703704,-0.0789458873095614,-0.107692307692308,-0.107692307692308,-0.099259259259259,41.409516225364,-41.409516225364,-0.123703703703704,0.134074074074074,0.19718375621877
6,"A",0,65.475,65.475,0,1,8,6,9,-2,-2,-3,-13,2,-8,6,-2,-4,-0.041542040545032,0.114285714285714,-0.036363636363636,0.00132934529744105,-0.103118466491316,-0.175452399685287,-0.175452399685287,-0.071119973413094,9.16380297823571,-9.16380297823571,-0.09238949817215,0.096709870388833,-0.009799670968623
9,"H",0,60.625,60.625,0,3,-4,-2,-4,5,4,-9,1,4,-6,2,1,-1,0.085733200926845,-0.016806722689076,0.149321266968326,0.07282356835485,-0.06795071600327,-0.168877099911582,-0.168877099911582,0.104932141674943,14.845360824742,-14.845360824742,0.092684541542536,-0.047666335650447,0.090279990430004
17,"H",0,61.9125,61.9125,0,8,13,9,12,-8,-11,1,-1,9,-9,2,0,5,0.028352490421456,0.24901185770751,-0.059210526315789,0.098467432950192,-0.128520554198809,0.016666666666667,0.0166666666666671,-0.202681992337165,27.4581061982636,-27.4581061982636,-0.284291187739463,0.152107279693487,0.067678873349118
6,"H",0,58.2875,58.2875,0,1,-4,1,5,3,3,-5,1,7,-4,3,6,-5,0.056089743589744,-0.014705882352941,0.070588235294118,0.0689102564102561,-0.042581707898038,-0.090336134453782,-0.0903361344537821,0.076923076923077,10.2938022732151,-10.2938022732151,0.08974358974359,0.123397435897436,0.073046373192929
20,"A",0,65.7125,65.7125,0,5,-13,-1,-9,11,15,-4,11,4,4,0,4,-10,0.201844262295082,0.136842105263158,0.00985221674876902,0.202527322404372,0.058075019595691,0.01500938086304,0.01500938086304,0.273565573770492,30.4356096633061,-30.4356096633061,0.374658469945356,-0.103142076502733,0.203349242940205
12,"H",0,65.8875,65.8875,0,0,-23,1,0,11,17,-8,12,6,7,-5,11,-2,0.18407012195122,0.111111111111111,0.108695652173913,0.205030487804878,0.118737120041216,-0.106666666666667,-0.106666666666667,0.294588414634146,18.2128628343768,-18.2128628343768,0.467225609756098,0.078887195121951,0.216593822933011
3,"A",1,75.875,67.4444444444444,0,-2,-6,-2,-5,9,6,-1,6,2,-1,3,5,-2,0.013513513513513,0.021739130434783,0.214285714285714,0.00715421303656594,-0.00652861959180101,0.044573643410853,0.044573643410853,0.145468998410175,3.95387149917599,-3.95387149917599,0.114467408585056,-0.040143084260731,0.0407018279774279
2,"A",0,66.375,66.375,0,-3,1,4,10,4,4,-1,-6,-3,-3,4,4,4,-0.07015306122449,0.073578595317726,0.045088566827698,-0.029974489795918,-0.04108807709651,-0.061904761904762,-0.0619047619047619,0.074829931972789,3.0131826741996,-3.0131826741996,0.071853741496598,0.198554421768708,-0.00810449931813395
7,"A",1,70.375,62.5555555555556,0,-2,-10,4,13,7,10,-7,-1,4,-2,-2,-4,-5,0.037337662337662,-0.00215517241379298,0,0.079816017316017,-0.013115614138632,-0.130952380952381,-0.130952380952381,0.162878787878788,9.94671403197199,-9.94671403197199,0.232683982683983,0.275432900432901,0.085951309184322
3,"H",0,59.8125,59.8125,0,1,0,3,2,-2,-1,2,1,-5,-1,-1,-2,-1,0.022727272727272,0.131944444444444,-0.068627450980392,0.056818181818182,-0.011210540353868,0.070769230769231,0.0707692307692309,-0.045454545454546,5.01567398119201,-5.01567398119201,-0.022727272727273,0.045454545454545,0.0340119119344541
